z1_dim,z2_dim,epochs,optimizer,auc
4,2,100,adam,0.8323424913444059
4,2,200,adam,0.8290803600032421
4,4,100,adam,0.8155772229534393
4,4,200,adam,0.8364555872487756
4,8,100,adam,0.8108605513333669
4,8,200,adam,0.8368842659245563
8,2,100,adam,0.8169633724588063
8,2,200,adam,0.8219973917423509
8,4,100,adam,0.8217514503186262
8,4,200,adam,0.8379565657072499
8,8,100,adam,0.8146368799719006
8,8,200,adam,0.8295769469779721
16,2,100,adam,0.8147034614657191
16,2,200,adam,0.8354831597068098
16,4,100,adam,0.8179946619011044
16,4,200,adam,0.8237363507937672
16,8,100,adam,0.8129705333467139
16,8,200,adam,0.8253907561727799
