z1_dim,z2_dim,epochs,optimizer,auc
8,4,50,adam,0.8114669421487604
8,4,200,adam,0.7889010847107438
8,4,300,adam,0.8011363636363636
8,2,50,adam,0.8177298553719008
8,2,200,adam,0.7730823863636365
8,2,300,adam,0.8115637913223139
16,4,50,adam,0.8013946280991736
16,4,200,adam,0.7954222623966942
16,4,300,adam,0.7996513429752066
16,2,50,adam,0.8011363636363635
16,2,200,adam,0.8014591942148761
16,2,300,adam,0.821248708677686
32,4,50,adam,0.8227982954545454
32,4,200,adam,0.7710808367768596
32,4,300,adam,0.7517432851239669
32,2,50,adam,0.8057851239669421
32,2,200,adam,0.7712745351239669
32,2,300,adam,0.7708548553719009
16,8,100,adam,0.7731469524793388
16,8,50,adam,0.8055268595041323
16,8,200,adam,0.8091425619834711
16,16,100,adam,0.8234762396694214
16,16,50,adam,0.7881908574380164
16,16,200,adam,0.7886105371900827
16,2,100,adam,0.798908832644628
16,2,50,adam,0.8111118285123968
16,2,200,adam,0.7731146694214877
16,4,100,adam,0.7680785123966942
16,4,50,adam,0.791612861570248
16,4,200,adam,0.7710808367768593
8,8,100,adam,0.7788933367768596
8,8,50,adam,0.7797004132231404
8,8,200,adam,0.7752453512396694
8,16,100,adam,0.7555204028925621
8,16,50,adam,0.7833161157024794
8,16,200,adam,0.750387396694215
8,2,100,adam,0.7825736053719008
8,2,50,adam,0.7910317665289255
8,2,200,adam,0.7834452479338843
8,4,100,adam,0.80859375
8,4,50,adam,0.7414772727272727
8,4,200,adam,0.7943569214876034
4,8,100,adam,0.7813145661157025
4,8,50,adam,0.76536673553719
4,8,200,adam,0.8300942665289256
4,16,100,adam,0.8127905475206612
4,16,50,adam,0.7971009814049588
4,16,200,adam,0.7942277892561984
4,2,100,adam,0.8135330578512397
4,2,50,adam,0.8197959710743802
4,2,200,adam,0.8297068698347106
4,4,100,adam,0.7815405475206612
4,4,50,adam,0.7856727789256198
4,4,200,adam,0.8326123450413223
16,16,300,adam,0.7834452479338843
16,2,300,adam,0.811144111570248
16,4,300,adam,0.8010072314049586
32,16,300,adam,0.7746642561983471
32,2,300,adam,0.7718233471074379
32,4,300,adam,0.8011363636363638
16,16,50,adam,0.766561208677686
16,16,200,adam,0.7864152892561982
16,16,300,adam,0.7770532024793388
16,8,50,adam,0.770887138429752
16,8,200,adam,0.7927750516528925
16,8,300,adam,0.7661092458677685
4,16,50,adam,0.7959065082644629
4,16,200,adam,0.7770532024793387
4,16,300,adam,0.805236311983471
4,8,50,adam,0.7700800619834711
4,8,200,adam,0.7808303202479339
4,8,300,adam,0.8447830578512397
32,16,50,adam,0.8070441632231405
32,16,200,adam,0.7639462809917354
32,16,300,adam,0.7845751549586777
32,8,50,adam,0.8622804752066114
32,8,200,adam,0.7916451446280992
32,8,300,adam,0.818569214876033
8,2,300,adam,0.8115315082644629
8,16,300,adam,0.775858729338843
32,2,300,adam,0.7838972107438017
32,16,300,adam,0.796745867768595
4,2,300,adam,0.8300942665289256
4,16,300,adam,0.7945506198347108
